Arduino
Astronomy
Biology
Chess

Alpha	Accuracy
0.14800	97.90136411
0.15100	97.90136411
0.15400	97.90136411
0.15700	97.90136411
0.16000	97.90136411
0.16300	97.90136411
0.16600	97.90136411
0.16900	97.90136411
0.17200	97.90136411
0.17500	97.90136411
0.17800	97.90136411
0.18100	97.90136411
0.18400	97.90136411
0.18700	97.90136411
0.19000	97.90136411
0.19300	97.90136411
0.19600	97.90136411
0.19900	97.90136411
0.20200	97.90136411
0.20500	97.90136411
0.20800	97.90136411
0.21100	97.90136411
0.21400	97.90136411
0.21700	97.90136411
0.22000	97.90136411
0.22300	97.90136411
0.22600	97.90136411
0.22900	97.90136411
0.23200	97.90136411
0.23500	97.90136411
0.23800	97.90136411
0.24100	97.90136411
0.24400	97.90136411
0.24700	97.95383001
0.25000	97.95383001
0.25300	97.95383001
0.25600	97.95383001
0.25900	97.95383001
0.26200	97.95383001
0.26500	97.95383001
0.26800	97.95383001
0.27100	97.95383001
0.27400	97.95383001
0.27700	97.95383001
0.28000	97.95383001
0.28300	97.95383001
0.28600	97.95383001
0.28900	97.95383001
0.29200	97.95383001
0.29500	97.95383001
0.29800	97.95383001
0.30100	97.95383001
0.30400	98.00629591
0.30700	98.0587618
0.31000	98.0587618
0.31300	98.0587618
0.31600	98.1112277
0.31900	98.1112277
0.32200	98.1112277
0.32500	98.1112277
0.32800	98.1112277
0.33100	98.1112277
0.33400	98.1112277
0.33700	98.1112277
0.34000	98.1112277
0.34300	98.1112277
0.34600	98.1112277
0.34900	98.1112277
0.35200	98.1112277
0.35500	98.1112277
0.35800	98.1112277
0.36100	98.1112277
0.36400	98.1112277
0.36700	98.1112277
0.37000	98.1112277
0.37300	98.1112277
0.37600	98.1112277
0.37900	98.1112277
0.38000	98.1112277
0.38100	98.1112277
0.38200	98.1112277
0.38200	98.1112277
0.38300	98.1112277
0.38400	98.1112277
0.38500	98.1112277
0.38500	98.1112277
0.38600	98.1112277
0.38700	98.1112277
0.38800	98.1112277
0.38800	98.1112277
0.38900	98.1112277
0.39000	98.1112277
0.39100	98.1112277
0.39100	98.1112277
0.39200	98.1112277
0.39300	98.1112277
0.39400	98.1112277
0.39400	98.1112277
0.39500	98.1112277
0.39600	98.1112277
0.39700	98.0587618
0.39700	98.0587618
0.39800	98.0587618
0.39900	98.0587618
0.40000	98.0587618
0.40500	98.00629591
0.41000	98.00629591
0.41500	98.00629591
0.42000	98.00629591
0.42500	98.00629591
0.43000	98.00629591
0.43500	98.00629591
0.44000	98.00629591
0.44500	98.00629591
0.45000	98.00629591
0.46000	98.00629591
0.47000	98.00629591
0.48000	98.00629591
0.49000	98.00629591
0.50000	98.00629591
0.51000	98.00629591
0.52000	98.00629591
0.53000	98.00629591
0.54000	98.00629591
0.55000	98.00629591
0.60000	97.95383001
0.65000	97.84889822
0.70000	97.84889822
0.75000	97.84889822
0.80000	97.84889822
0.85000	97.84889822
0.90000	97.84889822
0.95000	97.90136411
1.00000	97.84889822
